Batch,Cost
232,0.18067347384579618
233,0.1865869795000634
234,0.18101270284437368
235,0.19501477996123603
236,0.18405284413536394
237,0.17244743108481933
238,0.20961361167583778
239,0.15676888436369993
240,0.20626147377220425
241,0.17849612216219135
242,0.1257462697861478
243,0.15492887378383163
244,0.16422271467512353
245,0.1557834476039502
246,0.20278280481441593
247,0.17748673927114067
248,0.17265273784566662
249,0.16525944459450537
250,0.12779097794871438
251,0.19168645704866363
252,0.15668523723606817
253,0.1656547565164625
254,0.15134263372425433
255,0.1782966838337964
256,0.1607930129576169
257,0.1279998873742735
258,0.1610548397381187
259,0.16353983314055853
260,0.16570453996424386
261,0.22279424181835505
262,0.22608104111168448
263,0.1823821540664048
264,0.15519662379530583
265,0.18731378592479467
266,0.18301810728485854
267,0.1560976514348681
268,0.14535255568787106
269,0.13892118978949827
270,0.1884676852114605
271,0.16064464222914546
272,0.1429098449027915
273,0.14940435249912193
274,0.15638354589375678
275,0.1541993441429076
276,0.1615786111709035
277,0.18220755564872093
278,0.1686668014748486
279,0.12745687415724688
280,0.17379150425760287
281,0.18543557430619695
282,0.1888601912817418
283,0.14622194974206965
284,0.1848442928657808
285,0.19312679878836164
286,0.1781913888955418
287,0.2020525435544053
288,0.16717177307222117
289,0.15479187064325328
290,0.1569128829308997
291,0.15278070712259834
292,0.15514457239312496
293,0.17931847389370734
294,0.12819165023704734
295,0.14414320818227322
296,0.1155399249748851
297,0.16085386609599867
298,0.14864364219974321
299,0.1736331824799983
300,0.14538386403311368
301,0.16368420261268254
302,0.15594117459781937
303,0.15065131171329885
304,0.19269516117244959
305,0.13267583537871167
306,0.14048443780194997
307,0.15579540427397165
308,0.1600489446194003
309,0.17774819505445624
310,0.15464908611787975
311,0.13372415161053805
312,0.12106292575937111
313,0.18881123496764368
314,0.1768988020566599
315,0.1492657617087717
316,0.13920767412622698
317,0.13974412857534277
318,0.14505244953934107
319,0.14806452442853718
320,0.10767067609909228
321,0.1703366573696044
